symbol,year,quarter,quarter_str,transcript_id,transcript_date,company_name,sector,industry,transcript_length,return_30d
L,2017,2,2017Q2,17121,2017-07-31,Loews Corporation,Financial Services,Insurance - Property & Casualty,28955,-2.8595
LEN,2017,2,2017Q2,14502,2017-06-20,Lennar,Consumer Cyclical,Residential Construction,53646,2.1426
LH,2017,2,2017Q2,14575,2017-07-26,LabCorp,Healthcare,Medical - Diagnostics & Research,66886,0.7121
LII,2017,2,2017Q2,11620,2017-07-24,Lennox International,Industrials,Construction,48046,-8.9195
LULU,2017,2,2017Q2,11769,2017-08-31,Lululemon Athletica,Consumer Cyclical,Apparel - Retail,53423,1.1295
LYB,2017,2,2017Q2,13610,2017-07-28,LyondellBasell,Basic Materials,Chemicals - Specialty,55986,8.2399
LYV,2017,2,2017Q2,12278,2017-08-09,Live Nation Entertainment,Communication Services,Entertainment,44076,16.0
MA,2017,2,2017Q2,14190,2017-07-27,Mastercard,Financial Services,Financial - Credit Services,57395,4.7561
MAA,2017,2,2017Q2,12897,2017-07-27,Mid-America Apartment Communities,Real Estate,REIT - Residential,49344,5.5751
MAR,2017,2,2017Q2,16877,2017-08-07,Marriott International,Consumer Cyclical,Travel Lodging,63097,2.2186
MAS,2017,2,2017Q2,22245,2017-07-29,Masco,Industrials,Construction,50108,-1.1926
MCHP,2017,2,2017Q2,14298,2016-11-07,Microchip Technology,Technology,Semiconductors,62391,4.7237
MCO,2017,2,2017Q2,16865,2017-07-21,Moody's Corporation,Financial Services,Financial - Data & Stock Exchanges,49234,5.182
MDLZ,2017,2,2017Q2,13586,2017-08-02,Mondelez International,Consumer Defensive,Food Confectioners,53001,-6.74
MET,2017,2,2017Q2,16575,2017-08-03,MetLife,Financial Services,Insurance - Life,46351,-1.8204
META,2017,2,2017Q2,13405,2017-07-26,Meta Platforms,Communication Services,Internet Content & Information,63717,3.2244
MGM,2017,2,2017Q2,12693,2017-07-27,MGM Resorts,Consumer Cyclical,"Gambling, Resorts & Casinos",53814,-1.8305
MKC,2017,2,2017Q2,14684,2017-06-29,McCormick & Company,Consumer Defensive,Packaged Foods,60486,-1.9402
MMM,2017,2,2017Q2,23029,2017-07-25,3M,Industrials,Conglomerates,66403,-3.7874
MNST,2017,2,2017Q2,13648,2017-08-08,Monster Beverage,Consumer Defensive,Beverages - Non-Alcoholic,41627,5.5851
MO,2017,2,2017Q2,23041,2017-07-27,Altria,Consumer Defensive,Tobacco,41420,-13.2441
MOH,2017,2,2017Q2,11994,2017-08-02,Molina Healthcare,Healthcare,Medical - Healthcare Plans,70408,0.5737
MOS,2017,2,2017Q2,13733,2017-08-01,Mosaic Company (The),Basic Materials,Agricultural Inputs,52378,-16.6114
MPWR,2017,2,2017Q2,12135,2017-07-26,Monolithic Power Systems,Technology,Semiconductors,26484,-3.8112
MRK,2017,2,2017Q2,23053,2017-08-03,Merck & Co.,Healthcare,Drug Manufacturers - General,55545,4.2982
MS,2017,2,2017Q2,17280,2017-07-19,Morgan Stanley,Financial Services,Financial - Capital Markets,57800,1.152
MSCI,2017,2,2017Q2,12597,2017-08-03,MSCI,Financial Services,Financial - Data & Stock Exchanges,64424,4.2798
MTCH,2017,2,2017Q2,12063,2017-08-05,Match Group,Communication Services,Internet Content & Information,53423,24.6015
MTD,2017,2,2017Q2,12944,2017-07-28,Mettler Toledo,Healthcare,Medical - Diagnostics & Research,42582,8.8849
MU,2017,2,2017Q2,17193,2017-03-23,Micron Technology,Technology,Semiconductors,46954,6.0068
NCLH,2017,2,2017Q2,12633,2017-08-08,Norwegian Cruise Line Holdings,Consumer Cyclical,Travel Services,50819,-4.0424
NDAQ,2017,2,2017Q2,14094,2017-07-26,"Nasdaq, Inc.",Financial Services,Financial - Data & Stock Exchanges,61443,1.3196
NDSN,2017,2,2017Q2,12006,2017-05-23,Nordson Corporation,Industrials,Industrial - Machinery,36118,-8.973
NEE,2017,2,2017Q2,22414,2017-07-26,NextEra Energy,Utilities,Regulated Electric,55760,4.4438
NEM,2017,2,2017Q2,22570,2017-07-27,Newmont,Basic Materials,Gold,41713,6.3582
NFLX,2017,2,2017Q2,13829,2017-07-18,Netflix,Communication Services,Entertainment,38882,4.3908
NI,2017,2,2017Q2,16612,2017-08-06,NiSource,Utilities,Regulated Gas,27743,0.0
NOC,2017,2,2017Q2,23077,2017-07-26,Northrop Grumman,Industrials,Aerospace & Defense,56071,0.6893
NRG,2017,2,2017Q2,13889,2017-08-03,NRG Energy,Utilities,Independent Power Producers,32493,-6.2934
NTAP,2017,2,2017Q2,16745,2016-11-16,NetApp,Technology,Computer Hardware,49303,2.4187
NTRS,2017,2,2017Q2,16901,2017-07-19,Northern Trust,Financial Services,Asset Management,57245,-9.3047
NUE,2017,2,2017Q2,17564,2017-07-20,Nucor,Basic Materials,Steel,47140,-7.3765
NVDA,2017,2,2017Q2,14877,2016-08-12,Nvidia,Technology,Semiconductors,70158,5.0633
NWSA,2017,2,2017Q2,13478,2017-02-09,News Corp (Class A),Communication Services,Entertainment,38605,1.5335
O,2017,2,2017Q2,13249,2017-08-03,Realty Income,Real Estate,REIT - Retail,25129,4.4171
OKE,2017,2,2017Q2,13877,2017-08-02,ONEOK,Energy,Oil & Gas Midstream,41229,0.2644
OMC,2017,2,2017Q2,16913,2017-07-20,Omnicom Group,Communication Services,Advertising Agencies,51980,-10.3542
ON,2017,2,2017Q2,11950,2017-08-07,ON Semiconductor,Technology,Semiconductors,49083,16.6887
ORCL,2017,2,2017Q2,17345,2016-12-15,Oracle Corporation,Technology,Software - Infrastructure,39107,-2.4963
ORLY,2017,2,2017Q2,13986,2017-07-27,O'Reilly Auto Parts,Consumer Cyclical,Specialty Retail,59375,6.16
OXY,2017,2,2017Q2,23101,2017-08-03,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,49117,-0.0326
PANW,2017,2,2017Q2,11794,2017-02-28,Palo Alto Networks,Technology,Software - Infrastructure,61632,-25.3555
PAYC,2017,2,2017Q2,12266,2017-08-01,Paycom,Technology,Software - Application,40003,5.2957
PCAR,2017,2,2017Q2,22282,2017-07-25,Paccar,Industrials,Agricultural - Machinery,28514,-5.6411
PCG,2017,2,2017Q2,11909,2017-07-27,PG&E Corporation,Utilities,Regulated Electric,29646,4.0353
PEG,2017,2,2017Q2,23113,2017-07-28,Public Service Enterprise Group,Utilities,Regulated Electric,44112,5.4127
PEP,2017,2,2017Q2,23125,2017-07-11,PepsiCo,Consumer Defensive,Beverages - Non-Alcoholic,42764,3.1942
PFG,2017,2,2017Q2,14804,2017-07-28,Principal Financial Group,Financial Services,Insurance - Diversified,53140,-7.1289
PG,2017,2,2017Q2,23150,2017-01-20,Procter & Gamble,Consumer Defensive,Household & Personal Products,71379,6.6942
PKG,2017,2,2017Q2,12705,2017-07-27,Packaging Corporation of America,Consumer Cyclical,Packaging & Containers,58984,4.5864
PLD,2017,2,2017Q2,14660,2017-07-18,Prologis,Real Estate,REIT - Industrial,52722,6.2543
PM,2017,2,2017Q2,14238,2017-07-20,Philip Morris International,Consumer Defensive,Tobacco,60573,-3.8563
PNC,2017,2,2017Q2,17405,2017-07-14,PNC Financial Services,Financial Services,Banks - Regional,55367,0.4398
PNW,2017,2,2017Q2,16696,2017-08-06,Pinnacle West,Utilities,Regulated Electric,25413,0.2498
PODD,2017,2,2017Q2,11842,2017-08-04,Insulet Corporation,Healthcare,Medical - Devices,61871,8.5182
POOL,2017,2,2017Q2,12171,2017-07-20,Pool Corporation,Industrials,Industrial - Distribution,43278,-15.4238
PPG,2017,2,2017Q2,23162,2017-07-20,PPG Industries,Basic Materials,Chemicals - Specialty,60834,-1.9959
PSA,2017,2,2017Q2,14526,2017-07-27,Public Storage,Real Estate,REIT - Industrial,27984,3.9274
PSKY,2017,2,2017Q2,17180,2017-08-07,Paramount Skydance Corp,Communication Services,Entertainment,56117,-8.478
PSX,2017,2,2017Q2,13672,2017-08-01,Phillips 66,Energy,Oil & Gas Refining & Marketing,56460,3.1045
