symbol,reaction_date,entry_date,exit_date,entry_price,exit_price,shares,gross_ret,net_ret,invested_cash,ret_pct
TT,2020-07-29,2020-07-30,2020-09-11,109.0,116.99,0.0006879723589902778,0.07330275229357786,0.07330275229357786,0.07498898712994029,7.3302752293577855
QCOM,2020-07-30,2020-07-31,2020-09-14,105.66,113.46,0.0007107289688205923,0.07382169222032942,0.07382169222032942,0.07509562284558378,7.382169222032942
BG,2020-10-28,2020-10-29,2020-12-11,58.31,66.04,0.0013018184854862178,0.1325673126393414,0.1325673126393414,0.07590903588870136,13.25673126393414
KLAC,2020-10-29,2020-10-30,2020-12-14,198.5,260.13,0.00038240234857040583,0.310478589420655,0.310478589420655,0.07590686619122555,31.0478589420655
LKQ,2020-10-29,2020-10-30,2020-12-14,31.24,36.61,0.0024297972532402548,0.1718950064020488,0.17189500640204858,0.07590686619122555,17.18950064020486
PTC,2020-10-29,2020-10-30,2020-12-14,83.25,113.83,0.0009117941884831898,0.3673273273273272,0.3673273273273272,0.07590686619122555,36.73273273273272
CTVA,2020-11-05,2020-11-06,2020-12-21,34.19,39.55,0.002293480636835559,0.15677098566832415,0.15677098566832415,0.07841410297340776,15.677098566832415
PLTR,2020-11-17,2020-11-18,2021-01-04,18.28,23.37,0.004388224706992145,0.27844638949671774,0.27844638949671774,0.08021674764381642,27.844638949671776
NTAP,2020-12-02,2020-12-03,2021-01-19,59.35,64.28,0.001397514167766773,0.08306655433866883,0.08306655433866883,0.08294246585695798,8.306655433866883
RMD,2021-01-28,2021-01-29,2021-03-15,212.7,187.09,0.0004023618894579431,-0.12040432534085566,-0.12040432534085554,0.0855823738877045,-12.040432534085554
PM,2021-02-04,2021-02-05,2021-03-22,84.39,89.98,0.0010106964489547906,0.06624007583836944,0.06624007583836966,0.08529267332729477,6.624007583836966
AMAT,2021-02-19,2021-02-22,2021-04-06,117.97,139.54,0.0007229412957544225,0.18284309570229706,0.1828430957022973,0.08528538466014922,18.28430957022973
TTD,2021-02-19,2021-02-22,2021-04-06,88.47,66.96,0.0009640034436549025,-0.2431332655137335,-0.2431332655137335,0.08528538466014922,-24.31332655137335
HPQ,2021-02-26,2021-03-01,2021-04-13,29.37,33.04,0.0028688967764874053,0.12495743956418104,0.12495743956418104,0.0842594983254351,12.495743956418103
FDX,2021-03-19,2021-03-22,2021-05-04,279.58,304.28,0.0003003069213711136,0.08834680592317046,0.08834680592317046,0.08395980907693594,8.834680592317046
STX,2021-04-23,2021-04-26,2021-06-08,89.58,100.83,0.0009555408647055566,0.12558606831882124,0.12558606831882124,0.08559735066032376,12.558606831882123
