,gross_exposure
2017-06-05,0.06372170642469835
2017-06-06,0.06339497403889847
2017-06-07,0.06371289352324568
2017-06-08,0.06340495977388817
2017-06-09,0.06305875848332286
2017-06-12,0.06245298853770511
2017-06-13,0.06292922185088398
2017-06-14,0.06283368069289626
2017-06-15,0.0629377656212012
2017-06-16,0.06292518382886295
2017-06-19,0.052416591315494365
2017-06-20,0.04135861033230008
2017-06-21,0.041093937580048014
2017-06-22,0.0409569806692241
2017-06-23,0.03013166777173946
2017-06-26,0.030297004217735228
2017-06-27,0.02982209168621982
2017-06-28,0.02998240662728907
2017-06-29,0.02966197914376325
2017-06-30,0.029939193422605422
2017-07-03,0.029794519784142912
2017-07-05,0.01939088175767119
2017-07-06,0.01912434056949843
2017-07-07,0.01951688010230033
2017-07-10,0.019309245151571137
2017-07-11,0.01890279167231325
2017-07-12,0.010476898646860348
2017-07-13,0.010415006436121265
2017-07-14,0.010578920254905677
2017-07-17,0.010645808250421737
2017-07-18,0.0
2017-07-19,0.0
2017-07-20,0.0099561201940251
2017-07-21,0.010148621999903807
2017-07-24,0.010145583079369695
2017-07-25,0.010182048894301124
2017-07-26,0.010188126268910868
2017-07-27,0.02051375115649146
2017-07-28,0.02056409286715663
2017-07-31,0.02061372436444208
2017-08-01,0.020518824541617905
2017-08-02,0.03072530409604184
2017-08-03,0.030590150024535034
2017-08-04,0.04083114308346283
2017-08-07,0.061342872482832156
2017-08-08,0.07112253455474533
2017-08-09,0.07087369498277771
2017-08-10,0.07012340160141732
2017-08-11,0.07035307734996131
2017-08-14,0.07136501958849421
2017-08-15,0.07161812605942376
2017-08-16,0.07183618880398865
2017-08-17,0.07094358326334037
2017-08-18,0.07091236105051228
2017-08-21,0.08099912934841628
2017-08-22,0.08217804922516404
2017-08-23,0.08188449876887403
2017-08-24,0.08206229313225262
2017-08-25,0.08198624754579605
2017-08-28,0.08239978579508117
2017-08-29,0.08272106359157193
2017-08-30,0.08363618797446305
2017-08-31,0.07283063398170324
2017-09-01,0.07306146516396321
2017-09-05,0.07253437683261955
2017-09-06,0.07247218750903413
2017-09-07,0.07292190388962394
2017-09-08,0.06283224992218549
2017-09-11,0.06360870312703498
2017-09-12,0.06363417434351387
2017-09-13,0.06385268619357584
2017-09-14,0.05355848693270509
2017-09-15,0.05364911561808446
2017-09-18,0.04391171298679075
2017-09-19,0.02222427990069699
2017-09-20,0.010765093007886464
2017-09-21,0.010735811330008872
2017-09-22,0.010875446830380437
2017-09-25,0.010551071555809633
2017-09-26,0.01045867579192335
2017-09-27,0.011116337981853117
2017-09-28,0.01151681295093538
2017-09-29,0.022295848952143028
2017-10-02,0.022470290299344643
2017-10-03,0.010726849223684198
2017-10-04,0.010513884265010463
2017-10-05,0.020514789990298682
2017-10-06,0.0207022595708738
2017-10-09,0.02097714323235568
2017-10-10,0.02128485276660538
2017-10-11,0.021255427332219634
2017-10-12,0.021054391809767405
2017-10-13,0.021068293067173293
2017-10-16,0.021491199140132675
2017-10-17,0.021110211581150614
2017-10-18,0.031672010095383105
2017-10-19,0.04167602356085528
2017-10-20,0.041982995903597504
2017-10-23,0.042258995274966515
2017-10-24,0.04239865115399847
2017-10-25,0.042285055578747344
2017-10-26,0.05267081761528234
2017-10-27,0.07403234680526348
2017-10-30,0.08410143083623141
2017-10-31,0.08434363093237514
2017-11-01,0.09448597904676503
2017-11-02,0.09567390616126797
2017-11-03,0.10687125584931287
2017-11-06,0.11763712194558497
2017-11-07,0.11818492945892586
2017-11-08,0.1183423082277139
